Title,Image,Ingredients,Directions,Cuisine,Serving,Prep Time,Cook Time,Total Time
Fettuccine Alfredo,FettuccineAlfredo,4 tablespoons (2 ounces) butter;8 ounces fettuccine pasta;1/2 teaspoon minced garlic;1/2 cup heavy cream;1/2 cup (2 ounces) grated Parmesan cheese;1 tablespoon salt,$1. Put on a large pot of water to boil for the fettuccine. Add the salt. When the water boils; add the pasta and set a timer for a minute or two less than the package indicates.$2. Meanwhile; melt the butter over medium heat in a large skillet.$3. Add the garlic and let it sizzle for just about 20 seconds; until it smells up the whole kitchen in a good way. Turn off the heat if you need to wait for the pasta.$4. When the pasta is done (you want it just a tiny bit less done than al dente because it will continue to cook a few minutes in the sauce) drain it quickly - DO NOT rinse - and toss it back into the pot. Don't shake it dry or anything; leave it a little wet.$5. Add the pasta to the butter and garlic and toss.$6. Add in the cream and Parmesan and stir it around to coat. Tongs work well for this job.$7. Let the pasta simmer a few minutes until the cream has thickened and the noodles are well-coated.$8. Serve with black pepper; red pepper; more cheese; and/or fresh parsley.,Italian,4, , , 
Spaghetti Carbonara,SpaghettiCarbonara,1 1/2 cups baby arugula or lettuce$ chopped;6 slices bacon$ cut into 1/2 inch dices;3/4 cup low-sodium chicken broth;4 extra large eggs;Kosher salt and ground black pepper;1/4 cup grated Parmigiano Reggiano cheese;3 tablespoon chopped Italian parsley;3 tablespoons grated Pecorino Romano;10 ounces spaghetti,$1. Bring a large pot of generously salted water to a boil.$2. In a deep skillet or medium pot; egg-poaching liquid to a boil over high heat; then leave on low heat.$3. Heat a large (12-inch) skillet over medium-high heat; cook bacon until fat renders and meat is slightly crisp; about 10 minutes. Set aside with a slotted spoon and transfer to a plate; leaving the fat in the skillet.$4. At the same time; add the pasta to the salted water; and add the broth to the bacon fat and simmer the broth to reduce by 1/3; about 8 to 10 minutes.$5. Cook the pasta until al dente; under-cooking by 2 minutes; about 8 to 10 minutes. Drain pasta but do not rinse.$6. To the broth add the arugula; parsley and 1/4 teaspoon salt and black pepper.$7. Add drained pasta; raise heat to high; and toss to coat with sauce.$8. Finish cooking the pasta in the broth for 2 minutes; then remove from heat; stir in cheese; and toss. The spaghetti will soak up any liquid.$9. Working one at a time; carefully crack each egg into a small bowl and very gently slide into barely boiling poaching liquid. Cook until whites set but yolks are still runny; about 2 to 3 minutes. Using a slotted spoon; lift each egg out of the water.$10. Evenly divide pasta between 4 warm bowls. Place each egg atop each bowl of pasta. Top generously with black pepper.$11. Serve immediately; mixing up the pasta to spread the egg and yolk throughout the bowl.,Italian,4,10,20,30
Portobello Risotto,PortobelloRisotto,3-4 cups of beef broth;5 tablespoons salted butter;1 cup onion$ coarsely chopped;Parmesan cheese;2 tablespoons of finely chopped parsley;1 1/2 cup of Arborio or Carnaroli rice;2 cups of white wine;4 cups Portobello mushrooms cut into thick slices,$1. In a large skillet; melt butter over medium heat.$2. Saute the onion 4 to 5 minutes; until wilted.$3. Add the mushrooms and saute for 3 to 4 minutes.$4. Add the rice and cook for another 3 minutes.$5. Add 1 cup of wine and cook; stirring occasionally; until the liquid is almost absorbed.$6. Add the rest of the wine and continue cooking and stirring until the wine is almost absorbed.$7. Add the broth; one cup at a time; and continue cooking and stirring constantly. You may have to lower the heat.$8. Continue cooking and stirring; until the rice is al dente; always preventing it from drying.$9. Serve in bowls; with some freshly grated Parmesan cheese and sprinkle with parsley.,Italian,6,5,30,35
Italian Meatloaf,italianmeatloaf,"1 pound ground beef;1/2 cup chopped bell pepper;3/4 cup Italian breadcrumbs;1 beaten egg;1 minced clove garlic;1/2 pound ground mild Italian sausage;1 cup marinara sauce. plus 1/2 - 3/4 cup more for topping";1 ton milk;8 ounces shredded mozzarella cheese$ reserve 3/4 cup for topping;1 teaspoon olive oil;1 finely chopped small onion;1/2 teaspoon oregano;1/4 cup parmesan cheese;1/2 teaspoon parsley;2 slices crumbled white bread;1 teaspoon Worcestershire sauce;1/2 teaspoon basil,$1. In a small skillet; heat the olive oil over medium high heat and saute the onion and bell pepper for 3-4 minutes; remove from heat.$2. In a large bowl; add the meats; onion and peppers along with all remaining ingredients reserving 3/4 cup of mozzarella cheese for topping.$3. Combine everything well; place and mold the mixture in a baking dish.$4. Spoon 1/2 to 3/4 cup of the marinara sauce on top and spread around. Place in a 400-degree oven for 50 minutes. Remove from the oven and top with the remaining cheese and sprinkle a little dry basil over the top.$5. Return to the oven for 10 minutes. Make sure the meat is not pink before serving; baking time will vary depending on the thickness of your loaf.,Italian,6,15,50,65
Lasagna,lasagna,1 pound ground beef;2 minced garlic cloves;3/4 pound bulk pork sausage;2 cans (6 ounces each) tomato paste;3 cans (8 ounces each) tomato sauce,$1. In a large skillet over medium heat; cook and crumble beef and sausage until no longer pink and drain. Add next 7 ingredients. Bring to a boil. Reduce heat to simmer; uncovered; for 1 hour; stirring occasionally. Adjust seasoning with additional salt and pepper; if desired.$2. In large bowl; lightly beat eggs. Add parsley; stir in cottage cheese; ricotta; and Parmesan cheese.$3. Preheat oven to 375-degrees. Spread 1 cup meat sauce in an ungreased baking dish. Layer with 3 noodles; provolone cheese; 2 cups cottage cheese mixture; 1 cup mozzarella; 3 noodles; 2 cups meat sauce; remaining cottage cheese mixture; and 1 cup mozzarella. Top with remaining noodles; meat sauce and mozzarella$4. Cover and bake for 50 minutes. Uncover and bake until heated through; about 20 minutes. Let stand for 15 minutes before cutting.,Italian,12,30,70,100
Spanakopita with Homemade Phyllo,spanakopita,1 cup all-purpose flour;1 tablespoon red wine or balsamic vinegar;1/2 cup bulgur (rice or tarhana) if needed;1/2 cup chopped fresh dill;2 cups crumbled feta;1/2 cup Greek yogurt;1/2 cup chopped fresh mint;freshly grated Nutmeg (to taste);1/3 cup extra virgin olive oil;2 finely chopped large red or yellow onions;1/2 cup chopped fresh parsley;Salt and pepper (to taste);1 teaspoon salt;6 chopped scallions;2 pounds of washed and drained fresh spinach;3/4 cup water;3 cups whole wheat flour;;FILLING: ;;PHYLLO: ;1/2 cup extra virgin Greek olive oil;1/2 cup extra virgin olive oil (for brushing phyllo),$1. Mix the flours and the salt in the bowl of a stand mixer; then turn on the mixer and start adding the remaining ingredients to the bowl. Mix on medium speed until combined; then turn the speed up a notch and mix for about 8-10 minutes. At this point; the dough should be soft but not sticky; so to get the right consistency; you might add more flour or water; depending on whether the dough is dry or too sticky.$2. Form the dough into a ball; then place it into an oiled bowl. Cover with a plastic wrap and keep it at room temperature anywhere from 30 minutes to 6 hours.$3. Heat two tablespoons of olive oil over medium heat; add the onions and the scallions and saute them for about 8 minutes; then add them to a large mixing bowl.$4. Saute the spinach in batches in the same skillet you've sauteed the onions earlier. Squeeze out as much of the liquid from the spinach as possible; then add it to the bowl with onions; together with herbs and feta.$5. Mix; then season to taste with salt; nutmeg; and pepper. Wait until the filling cools then if you see that it is wet or loose; add the grains: rice; bulgur or tarhana.$6. Set the oven to preheat to 350-degress.$7. Cut the dough into four same-sized pieces; then roll each piece into a circle; somewhat larger than the 15-inch/38cm pan.$8. Place one circle of dough into the oiled baking pan; then brush it with olive oil and top it with another circle of dough. Next; arrange the filling on top of the dough; then cover with the third circle of dough. Oil that sheet; then place the final sheet of dough on top.$9. Cut off any excess dough; leaving just a 1-inch/2.5cm overhang. Press the edges of the dough together; so a rim is formed.$10. Cut into serving size portions; the brush the top with olive oil.$11. Bake for 45-55 minutes. Take out of the oven and wait until it cools; for a minimum of 30 minutes; before serving.,Greek,8,30,44-55,85
Souvlaki,Souvlaki,1/4 cup olive or canola oil;3 cloves of minced garlic;1 grated medium onion;1 teaspoon dried Greek oregano;1 teaspoon black pepper;1 kg boneless pork shoulder;1 teaspoon salt,$1. Cut off an excess fat or membranes from the meat; then cut it into equal sized cubes.$2. Toss the meat in a large bowl together with all the marinade ingredients; then refrigerate for a minimum of five hours; best overnight. Also; place the wooden skewers in a shallow container filled with water overnight.$3. The next day; take the eat out of the refrigerator and first wait until it comes to room temperature and then skewer it.$4. Grill the souvlaki over medium high heat; about 3-4minutes per side. Keep warm until ready to serve. Sprinkle the grilled souvlaki with lemon juice; salt; and Greek oregano.$5. Serve just with bread; or inside a pita with tzatziki sauce and toppings of your choice.,Greek,6,,,20
Greek Salad,greeksalad,8 black olives;Some capers (optional);1 cucumber;150g feta cheese;Olive oil;1 onion (red or white);1/2 teaspoon dried Greek oregano;Red vinegar (optional);Salt;3 large tomatoes,$1. First; prepare the vegetables. Cut the tomatoes into wedges; cucumber into thick slices; and thinly slice the onion.$2. Place the vegetables into a bowl; then add the cubes of feta cheese; olives; oregano; and optionally; capers.$3. Season with salt; to taste; and pour over with olive oil. And; if using red-wine vinegar; first; make a dressing with olive oil; before you add it to the salad.$4. Toss the salad to combine and serve.,Greek,6,,,20
Tzatziki,tzatziki,1 cucumber;2 cloves garlic;500g Greek yogurt;1/2 cup olive oil;Salt to taste;1 tablespoon vinegar,$1. Start by peeling the cucumber and removing the seeds. Grate the cucumber and squeeze out the excess water.$2. Peel the garlic cloves; mince them finely; and mix them with salt using your hands.$3. Stir in 1 or 2 tablespoon Greek yogurt and mix well to distribute the garlic evenly.$4. Add the remaining yogurt; grated cucumbers; olive oil; and vinegar. Stir; cover; and place in a refrigerator.$5. Serve cold.,Greek,6,,,20
Greek Pastitsio,greekpastitsio,4 tablespoons all-purpose flour;1 pound ground beef;8 ounces bucatini pasta or ziti pasta;3 tablespoons melted butter;1/2 teaspoon ground cinnamon;1 teaspoon dried mint flakes (optional);2 beaten egg;1/3 cup milk;1/8 teaspoon ground nutmeg;1/2 cup chopped onion;1/3 cup parmesan cheese;1/8 teaspoon pepper;1 teaspoon salt;1 can tomato sauce (8 ounce);1/4 teaspoon salt;2 cups milk;4 tablespoon butter,$1. Cook macaroni; drain and return to pan.$2. Stir in the melted butter; Parmesan cheese; 1/3 cup milk; and egg. Set aside.$3. In a skillet or large saucepan; cook ground beef and onion until meat loses its pinkness and onion is soft. Drain excess fat.$4. Stir in tomato sauce; salt; mint flakes; cinnamon; nutmeg; and pepper. Set aside.$5. In a saucepan; melt 4 tablespoons butter; then mix in flour and 1/4 teaspoon salt.$6. Slowly stir in 2 cups milk; stirring well after each addition so that no lumps form.$7. Cook and stir on medium high until cream sauce starts to thicken. Stir for one minute more; then remove from heat.$8. Beat egg in a small bowl; then pour into cream sauce; stirring briskly.$9. Blend in 1/3 cup Parmesan cheese$10. Layer half the pasta mixture in a baking dish.$11. Spoon the meat mixture evenly on top; then the remaining pasta.$12. Pour cream sauce over top to cover completely.$13. Bake; uncovered; at 350-degrees for about 40 minutes; or until hot and lightly browned.$14. Let stand for 10 minutes before serving.,Greek,6,30,40,70
